Season,Month,Unemployment_rate,Accidents
Winter,January,8,40
Winter,February,8.2,39
Spring,March,8,32
Spring,April,8.75,27
Spring,May,7.25,31
Summer,June,7.25,30
Summer,July,7.75,23
Summer,August,7.5,25
Autumn,September,7.25,24
Autumn,October,7.25,35
Autumn,November,8,38
Winter,December,8.5,37
Winter,January,10.25,22
Winter,February,11.25,28
Spring,March,11,22
Spring,April,12.5,28
Spring,May,14,20
Summer,June,14,25
Summer,July,14.25,24
Summer,August,12.75,22
Autumn,September,12,20
Autumn,October,12.25,28
Autumn,November,12.5,24
Winter,December,12.25,43
Winter,January,14,29
Winter,February,14.25,28
Spring,March,13.25,19
Spring,April,12.25,25
Spring,May,11.5,21
Summer,June,11,30
Summer,July,12,23
Summer,August,11,24
Autumn,September,10.75,28
Autumn,October,11.75,26
Autumn,November,12,23
Winter,December,14.5,32
Winter,January,16,29
Winter,February,16.25,29
Spring,March,17,20
Spring,April,15.5,28
Spring,May,14.25,25
Summer,June,14.25,21
Summer,July,14.75,16
Summer,August,14.5,19
Autumn,September,14.5,19
Autumn,October,15,27
Autumn,November,16.5,29
Winter,December,17.25,26
Winter,January,17,24
Winter,February,16.5,20
Spring,March,17,22
Spring,April,15.5,21
Spring,May,14.75,25
Summer,June,14.5,24
Summer,July,13.25,25
Summer,August,13.5,26
Autumn,September,12.5,26
Autumn,October,12.75,31
Autumn,November,11.75,27
Winter,December,12,39
Winter,January,13,27
Winter,February,12.75,22
Spring,March,12.5,24
Spring,April,11.25,27
Spring,May,11.25,24
Summer,June,11.25,33
Summer,July,11.25,27
Summer,August,10.5,30
Autumn,September,10,23
Autumn,October,10.25,29
Autumn,November,11,33
Winter,December,10.75,40
Winter,January,12.5,34
Winter,February,10.5,31
Spring,March,10.75,22
Spring,April,10.5,24
Spring,May,10,35
Summer,June,10.5,24
Summer,July,11,29
Summer,August,10,25
Autumn,September,10,28
Autumn,October,9.75,34
Autumn,November,9,46
Winter,December,7.75,40
Winter,January,9.5,32
Winter,February,9.5,34
Spring,March,10,35
Spring,April,9.25,37
Spring,May,9.5,36
Summer,June,9.5,27
Summer,July,9.25,26
Summer,August,8,31
Autumn,September,8.5,39
Autumn,October,8.25,35
Autumn,November,8.25,45
Winter,December,7.75,35
Winter,January,8,46
Winter,February,9,26
Spring,March,8.5,32
Spring,April,8.75,27
Spring,May,8.25,30
Summer,June,9,36
Summer,July,8.75,26
Summer,August,8.5,33
Autumn,September,7.5,34
Autumn,October,7,39
Autumn,November,7.5,36
Winter,December,8.5,39
