Party,Bills,Favorable
R,10,1
R,10,1
R,10,2
R,10,2
R,8,2
R,10,2
R,9,2
D,10,10
D,10,10
D,10,10
R,10,2
R,10,1
D,10,10
D,10,9
R,10,2
D,10,10
D,10,10
R,10,1
R,10,1
D,10,10
D,10,10
D,10,10
R,10,2
R,9,2
R,10,4
D,10,10
R,10,3
D,10,10
R,10,2
D,10,10
R,9,1
R,10,2
R,10,2
R,10,1
D,10,10
D,10,10
R,10,4
R,10,5
D,10,10
D,10,10
D,10,10
D,10,10
D,10,10
R,10,3
D,10,9
R,10,1
R,10,2
R,10,2
R,10,1
R,10,2
D,10,9
R,10,1
D,10,10
R,10,2
D,10,10
D,10,10
I,10,1
R,9,2
D,10,10
D,10,10
R,10,2
D,10,10
D,10,10
D,10,10
R,10,1
D,10,10
D,10,10
D,10,9
R,10,3
R,10,5
R,10,1
R,10,1
D,10,10
R,10,2
R,10,5
R,10,3
R,9,4
D,10,10
R,10,2
D,10,10
D,10,10
D,10,10
R,10,1
R,10,2
R,10,1
R,10,2
R,10,2
R,10,2
D,10,10
R,10,3
R,10,3
D,10,9
R,10,3
D,9,9
D,10,8
D,10,10
D,10,10
D,10,10
R,10,1
R,10,1
