Age,Disease,Total,Positive
1,Mumps,407,56
2,Mumps,292,48
3,Mumps,332,137
4,Mumps,368,195
5,Mumps,421,290
6,Mumps,330,255
7,Mumps,294,236
8,Mumps,258,211
9,Mumps,312,271
10,Mumps,304,276
11,Mumps,282,259
12,Mumps,321,301
13,Mumps,313,296
14,Mumps,366,345
15,Mumps,116,112
16,Mumps,121,112
17,Mumps,148,142
18,Mumps,196,186
19,Mumps,211,202
20,Mumps,159,156
21,Mumps,160,155
22,Mumps,204,200
23,Mumps,170,166
24,Mumps,170,165
25,Mumps,180,179
26,Mumps,178,171
27,Mumps,179,175
28,Mumps,150,147
29,Mumps,147,137
30,Mumps,120,114
31,Mumps,122,117
32,Mumps,104,99
33,Mumps,95,95
34,Mumps,82,80
35,Mumps,78,77
36,Mumps,67,65
37,Mumps,65,63
38,Mumps,72,69
39,Mumps,47,46
40,Mumps,62,61
41,Mumps,56,55
42,Mumps,43,42
43,Mumps,37,37
44,Mumps,40,39
1,Rubella,206,31
2,Rubella,146,30
3,Rubella,168,34
4,Rubella,189,57
5,Rubella,219,95
6,Rubella,195,104
7,Rubella,164,90
8,Rubella,145,96
9,Rubella,180,134
10,Rubella,160,110
11,Rubella,148,111
12,Rubella,178,147
13,Rubella,177,138
14,Rubella,165,141
15,Rubella,67,53
16,Rubella,58,49
17,Rubella,81,73
18,Rubella,79,69
19,Rubella,111,97
20,Rubella,76,65
21,Rubella,82,74
22,Rubella,101,84
23,Rubella,88,82
24,Rubella,85,79
25,Rubella,94,90
26,Rubella,91,84
27,Rubella,89,81
28,Rubella,76,72
29,Rubella,79,71
30,Rubella,56,51
31,Rubella,52,45
32,Rubella,48,45
33,Rubella,37,35
34,Rubella,41,39
35,Rubella,40,36
36,Rubella,38,37
37,Rubella,39,37
38,Rubella,41,37
39,Rubella,30,28
40,Rubella,27,26
41,Rubella,25,25
42,Rubella,22,21
43,Rubella,19,18
44,Rubella,18,18
1,Parvovirus,72,9
2,Parvovirus,71,12
3,Parvovirus,85,12
4,Parvovirus,104,18
5,Parvovirus,102,23
6,Parvovirus,91,27
7,Parvovirus,87,28
8,Parvovirus,79,27
9,Parvovirus,104,44
10,Parvovirus,81,39
11,Parvovirus,81,34
12,Parvovirus,97,52
13,Parvovirus,69,32
14,Parvovirus,88,58
15,Parvovirus,53,27
16,Parvovirus,64,37
17,Parvovirus,93,53
18,Parvovirus,100,49
19,Parvovirus,88,51
20,Parvovirus,103,61
21,Parvovirus,97,51
22,Parvovirus,110,62
23,Parvovirus,131,69
24,Parvovirus,124,62
25,Parvovirus,92,57
26,Parvovirus,82,40
27,Parvovirus,106,47
28,Parvovirus,69,37
29,Parvovirus,102,63
30,Parvovirus,67,38
31,Parvovirus,56,23
32,Parvovirus,61,36
33,Parvovirus,53,33
34,Parvovirus,56,38
35,Parvovirus,40,21
36,Parvovirus,46,24
37,Parvovirus,44,28
38,Parvovirus,27,18
39,Parvovirus,44,25
40,Parvovirus,29,22
41,Parvovirus,16,9
42,Parvovirus,16,12
43,Parvovirus,17,14
44,Parvovirus,23,16
