league,division,position_in_final_league_standings_in_1986,number_of_wins_in_1986,number_of_losses_in_1986,attendance_for_home_games_in_1986,attendance_for_away_games_in_1986,1987_average_salary
N,E,1,108,54,2767601,2176615,526899
N,E,2,86,75,1933335,1721147,540930
N,E,3,79,82,2471974,1695738,445049
N,E,4,78,83,1128981,1926119,312959
N,E,5,70,90,1859102,1879706,556256
N,E,6,64,98,1000917,1651057,223730
N,W,1,96,66,1734276,1816220,430363
N,W,2,86,76,1692432,1849888,313194
N,W,3,83,79,1528748,1924802,326583
N,W,4,74,88,1805716,1779829,405340
N,W,5,73,89,3023208,2074970,580250
N,W,6,72,89,1387181,1837380,462188
A,E,1,95,66,2147641,2266765,552646
A,E,2,90,72,2268030,2196697,551519
A,E,3,87,75,1899437,1821142,445978
A,E,4,86,76,2455477,1716243,423417
A,E,5,84,78,1471805,1727486,363073
A,E,6,77,84,1265041,1707552,266542
A,E,7,73,89,1973176,1737994,550229
A,W,1,92,70,2655872,1685439,408181
A,W,2,87,75,1692002,1670132,240250
A,W,3,76,86,2320794,1909566,405833
A,W,4,76,86,1314646,1614837,392951
A,W,5,72,90,1424313,1852893,371979
A,W,6,71,91,1255453,1707440,432097
A,W,7,67,95,1029045,1558546,186146
