price_index_for_casoline,disposable_income,price_index_for_used_cars,gasoline_consumption
0.925,6036,0.836,129.7
0.914,6113,0.869,131.3
0.919,6271,0.948,137.1
0.918,6378,0.96,141.6
0.914,6727,1.001,148.8
0.949,7027,0.994,155.9
0.97,7280,0.97,164.9
1,7513,1,171
1.014,7728,1.028,183.4
1.047,7891,1.031,195.8
1.056,8134,1.043,207.4
1.063,8322,1.102,218.3
1.076,8562,1.105,226.8
1.181,9042,1.176,237.9
1.599,8867,1.226,225.8
1.708,8944,1.464,232.4
1.779,9175,1.679,241.7
1.882,9381,1.828,249.2
1.963,9735,1.865,261.3
2.656,9829,2.01,248.9
3.691,9722,2.081,226.8
4.109,9769,2.569,225.6
3.894,9725,2.964,228.8
3.764,9930,3.297,239.6
3.707,421,3.757,244.7
3.738,563,3.797,245.8
2.921,780,3.632,269.4
