Passing_Attempts,Passing_Completions,Passing_Yards,Touchdowns_by_Passing,Interceptions,NFL_Rating
2429,1546,19869,140,68,96.8
5391,3409,40551,273,139,92.3
6049,3604,45173,328,185,88.2
3942,2397,29527,201,143,85.8
2958,1685,22700,153,109,83.4
4390,2562,32114,231,166,83
3153,1817,22771,136,90,82.7
4262,2433,32224,255,189,82.63
3741,2136,28711,239,183,82.56
1580,983,10412,70,53,82.2
4475,2654,32838,197,160,81.9
3225,1896,22394,120,82,81.82
1505,864,10985,54,38,81.78
2950,1761,21959,155,132,81.7
4291,2440,31874,207,153,81.64
2281,1424,16303,82,78,81.62
3149,1808,24718,152,138,80.5
3602,2110,25094,128,98,80.44
6467,3686,47003,342,266,80.35
5147,3003,37949,214,185,80.3
5604,3297,43040,254,242,80.2
1564,911,11142,61,51,79.7
3241,1805,22272,147,100,79.4
2335,1303,16622,105,78,79.3
3817,2193,27613,164,141,79
2626,1464,23584,174,135,86.6
