ECAB,MET,GROW,YOUNG,OLD,WEST,EX
85.5,19.7,6.9,29.6,11,0,256
94.3,17.7,14.7,26.4,11.2,0,275
87,0,3.7,28.5,11.2,0,327
107.5,85.2,10.2,25.1,11.1,0,297
94.9,86.2,1,25.3,10.4,0,256
121.6,77.6,25.4,25.2,9.6,0,312
111.5,85.5,12.9,24,10.1,0,374
117.9,78.9,25.5,24.8,9.2,0,257
103.1,77.9,7.8,25.7,10,0,257
116.1,68.8,39.9,26.4,8,0,336
93.4,78.2,31.1,27.5,7.3,0,269
77.2,50.9,21.9,28.8,7.3,0,213
108.4,73.1,22.2,28,8.2,0,308
111.8,69.5,21.8,26.9,9.2,0,273
110.8,48.1,18.3,27.5,9.6,0,256
120.9,76.9,15.5,25.4,9.7,0,287
104.3,46.3,14.9,27.4,10.2,0,290
85.1,30.9,-7.4,30,9.3,0,217
76.8,34.1,0.3,29.4,9.6,0,198
75.1,45.8,8.1,28.9,8.7,0,217
78.7,24.6,12.4,30.8,6.9,0,195
65.2,32.2,12.9,32.9,6.3,0,183
73,46,14.4,30,7.4,0,222
80.9,65.6,77.2,25.5,11.2,0,283
69.4,45.6,7,30.5,8,1,217
57.4,8.6,0.5,32.1,8.7,1,231
95.7,51.3,14.4,28.8,10.4,1,329
100.2,33.2,5.3,27.3,11.9,1,294
99.1,57.9,9.8,25.6,11.7,1,232
93.4,10.6,2.9,30.2,9.3,1,369
88.2,12.7,4.6,28.9,10.5,1,302
99.1,37.6,6.8,26.6,11.6,1,269
102.2,37.4,13.7,26.8,11,1,291
86,5,21.9,30.3,7.4,1,323
68.6,19.1,-6.2,29.4,10.9,1,198
84.9,43.9,6.4,27.4,10.7,1,282
98.8,63.4,24.1,28.8,7.8,1,246
86.2,27.6,39.4,31.5,5.4,1,309
90.2,71.4,74.3,29.7,6.9,1,309
97.6,22.6,13.4,28.9,9.7,1,334
93.9,0,13.3,30.7,8.7,1,284
125.8,0,13.7,29.1,7.8,1,454
98,6.8,31.5,28,9,1,344
92.5,67.5,28.7,31.9,6.7,1,307
100.4,63.1,19.9,27.5,9.8,1,333
98,50.4,15.7,27.7,10.4,1,343
205,74.2,77.8,25.6,6.4,1,421
112.6,86.5,48.5,26.2,8.8,1,380
